Leptoria_contig001 47817063
Leptoria_contig002 45198164
Leptoria_contig003 45054202
Leptoria_contig004 39466012
Leptoria_contig005 33567740
Leptoria_contig006 32710347
Leptoria_contig007 32568904
Leptoria_contig008 32537264
Leptoria_contig009 29335251
Leptoria_contig010 24225943
Leptoria_contig011 24061155
Leptoria_contig012 23551849
Leptoria_contig013 22863222
Leptoria_contig014 21335961
Leptoria_contig015 20794134
Leptoria_contig016 20409174
Leptoria_contig017 20256684
Leptoria_contig018 19297126
Leptoria_contig019 18991073
Leptoria_contig020 18067043
Leptoria_contig021 16187528
Leptoria_contig022 15104110
Leptoria_contig023 14919307
Leptoria_contig024 14878177
Leptoria_contig025 14019318
Leptoria_contig026 13980875
Leptoria_contig027 13980030
Leptoria_contig028 13065576
Leptoria_contig029 12376505
Leptoria_contig030 11263952
Leptoria_contig031 10701808
Leptoria_contig032 9990155
Leptoria_contig033 9693680
Leptoria_contig034 9284119
Leptoria_contig035 6074049
Leptoria_contig036 6055367
Leptoria_contig037 5075638
Leptoria_contig038 4193682
Leptoria_contig039 3023028
Leptoria_contig040 2867281
Leptoria_contig041 2834208
Leptoria_contig042 2773950
Leptoria_contig043 2719018
Leptoria_contig044 1591180
Leptoria_contig045 1012091
Leptoria_contig046 816514
Leptoria_contig047 665156
Leptoria_contig048 653801
Leptoria_contig049 651533
Leptoria_contig050 540156
Leptoria_contig051 518550
Leptoria_contig052 500129
Leptoria_contig053 482876
Leptoria_contig054 386435
Leptoria_contig055 367126
Leptoria_contig056 366554
Leptoria_contig057 351211
Leptoria_contig058 339181
Leptoria_contig059 292727
Leptoria_contig060 282278
Leptoria_contig061 258434
Leptoria_contig062 254395
Leptoria_contig063 206920
Leptoria_contig064 200271
Leptoria_contig065 187184
Leptoria_contig066 165210
Leptoria_contig067 165028
Leptoria_contig068 154997
Leptoria_contig069 150650
Leptoria_contig070 147470
Leptoria_contig071 139453
Leptoria_contig072 136438
Leptoria_contig073 133843
Leptoria_contig074 124876
Leptoria_contig075 120134
Leptoria_contig076 119858
Leptoria_contig077 115764
Leptoria_contig078 114183
Leptoria_contig079 113308
Leptoria_contig080 111928
Leptoria_contig081 110023
Leptoria_contig082 105712
Leptoria_contig083 103269
Leptoria_contig084 103224
Leptoria_contig085 100019
Leptoria_contig086 98500
Leptoria_contig087 96638
Leptoria_contig088 96011
Leptoria_contig089 95460
Leptoria_contig090 93709
Leptoria_contig091 92564
Leptoria_contig092 91485
Leptoria_contig093 89699
Leptoria_contig094 87643
Leptoria_contig095 85355
Leptoria_contig096 83748
Leptoria_contig097 82637
Leptoria_contig098 82467
Leptoria_contig099 82239
Leptoria_contig100 79823
Leptoria_contig101 79564
